price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
650,41.4056589,2.1454131,40,1,1,1,0,1,Unknown,0,1,0,0,Unknown,El Putxet i el Farró,2.843098314,0,piso,0,0.416731294,35 - 71,0 - 5,11.5 - 15,2.5,2.5
950,41.4107682,2.1793424,78,2,1,0,1,1,Unknown,0,1,0,1,Unknown,El Camp de l'Arpa del Clot,2.662346058,0,piso,0,0.277493951,Unknown,0 - 5,11.5 - 15,2.5641025641025643,1.2820512820512822
800,41.3776518,2.1511551,69,2,1,0,1,0, norte,0,1,0,1,Unknown,La Nova Esquerra de l'Eixample,1.936988946,0,piso,0,0.285064159,Unknown,0 - 5,11.5 - 15,2.898550724637681,1.4492753623188406
750,41.4074408,2.156284,45,2,1,0,0,1,Unknown,0,1,0,0,Unknown,Vila de Gràcia,2.453299664,0,piso,0,0.52559724,Unknown,0 - 5,+15,4.444444444444445,2.2222222222222223
900,41.4240833,2.1910982,65,0,1,0,1,1,Unknown,0,0,0,1,Unknown,La Sagrera,4.395407978,0,estudio,0,0.51942468,Unknown,0 - 5,11.5 - 15,0.0,1.5384615384615385
900,41.4389025,2.170533,70,3,1,1,0,1, sur,0,0,0,1,gas,La Guineueta,5.673230023,0,piso,0,0.316899525,Unknown,0 - 5,0 - 11.5,4.285714285714286,1.4285714285714286
580,41.3818232,2.1891776,35,1,1,0,0,1, sur,0,0,0,0,Unknown,La Barceloneta,1.74348115,0,piso,0,0.366451575,Unknown,0 - 5,+15,2.857142857142857,2.857142857142857
825,41.4077455,2.1361497,60,2,1,0,0,1, norte,0,1,0,0,Unknown,Sant Gervasi - La Bonanova,3.579407322,1,piso,0,0.829361916,35 - 71,0 - 5,+15,3.3333333333333335,1.6666666666666667
700,41.3872074,2.1823344,55,1,1,0,0,1,Unknown,1,0,0,0,Unknown,Sant Pere - Santa Caterina i la Ribera,1.038850817,0,atico,0,0.467090968,Unknown,0 - 5,+15,1.8181818181818181,1.8181818181818181
630,41.4108965,2.1501894,28,0,1,0,1,1, norte,1,1,0,0,Unknown,La Salut,3.041860893,0,atico,0,0.502703485,Unknown,0 - 5,11.5 - 15,0.0,3.5714285714285716
950,41.4023338,2.1467079,75,3,2,0,0,1, norte,0,1,0,0,Unknown,El Putxet i el Farró,2.51572721,0,piso,0,0.48849355,35 - 71,0 - 5,11.5 - 15,4.0,2.6666666666666665
750,41.383822,2.1787322,60,1,1,0,0,1,Unknown,0,1,0,0,Unknown,Ciutat Vella,0.864041031,0,piso,0,0.037763581,Unknown,Unknown,+15,1.6666666666666667,1.6666666666666667
775,41.3828907,2.1534274,57,2,1,1,0,1,Unknown,0,1,0,0,Unknown,La Nova Esquerra de l'Eixample,1.484868219,0,piso,0,0.417820712,71 - 111,0 - 5,11.5 - 15,3.508771929824561,1.7543859649122806
800,41.3970642,2.1511259,35,1,1,0,0,1,Unknown,1,1,0,1,gas,Sant Gervasi - Galvany,1.87042358,0,atico,0,0.572306578,Unknown,0 - 5,+15,2.857142857142857,2.857142857142857
750,41.4015688,2.158587,55,2,1,0,0,1,Unknown,0,0,0,0,Unknown,Vila de Gràcia,1.790471958,0,piso,0,0.466838135,Unknown,0 - 5,+15,3.6363636363636362,1.8181818181818181
695,41.3731461,2.1350518,55,2,1,0,0,1,Unknown,0,1,0,0,Unknown,Sants,3.340920529,0,piso,0,0.12754202,Unknown,0 - 5,11.5 - 15,3.6363636363636362,1.8181818181818181
650,41.3821714,2.1783043,35,0,1,0,0,1,Unknown,0,0,0,0,Unknown,El Gòtic,0.946359727,0,estudio,0,0.21826528,Unknown,Unknown,11.5 - 15,0.0,2.857142857142857
800,41.3858377,2.1632015,40,0,1,0,0,1, este,0,1,0,0,Unknown,Ciutat Vella,0.605780243,0,estudio,0,0.076730661,Unknown,0 - 5,+15,0.0,2.5
